ward_id,ward_name,area_sq_km,centroid_lat,centroid_lon,data_source,snapshot_date,license,population_estimate_2020,population_density_per_sq_km,population_score,population_density_score,exposure_score,population_raster_valid_pixels,population_year,population_source,population_license,population_method
213,KALYAN PURI,0.4557,28.615695,77.315147,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,14219,31202.55,0.57,49.65,30.02,46,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
214,KHICHRIPUR,4.5711,28.611479,77.321666,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,140933,30831.31,85.33,48.94,63.5,428,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
215,KONDLI,1.566,28.610205,77.331288,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,49493,31604.73,24.17,50.42,39.92,151,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
216,GHAROLI,2.0385,28.617527,77.335865,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,51238,25135.15,25.33,38.03,32.95,170,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
217,VINOD NAGAR,0.896,28.622117,77.295311,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,33892,37825.89,13.73,62.33,42.89,87,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
218,MANDAWALI,0.9044,28.629136,77.294938,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,33057,36551.3,13.17,59.89,41.2,90,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
219,MAYUR VIHAR PHASE II,2.3325,28.618821,77.305828,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,80370,34456.59,44.82,55.88,51.46,233,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
22,RITHALA,2.0832,28.716718,77.107569,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,57136,27427.04,29.28,42.42,37.16,212,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
220,PATPARGANJ,1.5564,28.609302,77.290576,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,53355,34281.03,26.75,55.54,44.02,156,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
221,KISHAN KUNJ,1.3731,28.635776,77.271897,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,46688,34001.89,22.29,55.01,41.92,136,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
222,LAXMI NAGAR,0.918,28.637364,77.27952,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,35279,38430.28,14.66,63.49,43.96,95,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
223,SHAKARPUR,1.152,28.627619,77.284968,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,40530,35182.29,18.17,57.27,41.63,115,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
